category,price_usd,apliiq_code
hoodie,149.35,mens_Hooded-Puffer-Jacket
hoodie,105.95,mens_Canvas-Hooded-Jacket
hoodie,65.25,mens_Reverse-Weave-Hooded-Sweatshirt
hoodie,56.00,mens_Weave-Tie-Dye-Hoodie
hoodie,55.50,mens_Reverse-Weave-Garment-Dyed-Hoodie
hoodie,53.10,mens_USA-Made-Pullover-Hoody
jacket,130.96,mens_Felt-Bomber-Jacket
jacket,115.99,mens_Mens-Puffer-Vest-Jacket
jacket,104.83,mens_College-Bomber-Jacket
tee,29.53,womens_Womens-Rugby-Crop-Tee
tee,29.50,womens_Active-Bra-Tank
tee,26.00,mens_Heavyweight-Organic-Tee
tee,26.00,womens_Womens-Heavyweight-Organic-Tee
tee,26.00,mens_Woodland-Camo-Organic-Tee
tee,23.50,mens_Staple-Active-LS-Tee
tee,22.50,womens_Womens-Organic-Rib-Tee
tee,22.40,mens_HEAVY-FADED-L-S-TEE
jogger,36.60,mens_Unisex-Joggers
jogger,34.20,mens_Mineral-Wash-Fleece-Pants
jogger,33.55,mens_Pigment-Dyed-Fleece-Joggers
jogger,32.16,mens_Unisex-Heavyweight-Sweatpants
accessory,82.35,mens_Recycled-Strap-Backpack
accessory,71.33,mens_Recycled-Field-Backpack
accessory,59.00,mens_BAGedge-Tech-Backpack
accessory,51.16,mens_22L-Method-360-Ellipse-Backpack
accessory,36.00,mens_Cashmere-Wool-Beanie
